name,line,category
GoodGhosting.sol,L3,SWC-102-Outdated Compiler Version
Endpoint.sol,L152,SWC-101-Integer Overflow and Underflow
Relayer.sol,L4,SWC-102-Outdated Compiler Version
Relayer.sol,L4,SWC-103-Floating Pragma
Relayer.sol,L21-23,SWC-101-Integer Overflow and Underflow
Zunami.sol,L45-47,SWC-135-Code With No Effects
Zunami.sol,L74,SWC-100-Function Default Visibility
BeamToken.sol,L17,SWC-129-Typographical Error
BeamToken.sol,L72,SWC-129-Typographical Error
AllocatedCrowdsaleMixin.sol,L38,SWC-100-Function Default Visibility
Crowdsale.sol,L149,SWC-100-Function Default Visibility
Crowdsale.sol,L161,SWC-100-Function Default Visibility
CrowdsaleBase.sol,L1 - L467,SWC-103-Floating Pragma
CrowdsaleBase.sol,L414 - L417,SWC-129-Typographical Error
DefaultFinalizeAgent.sol,L8,SWC-102-Outdated Compiler Version
OMICrowdsale.sol,L1,SWC-102-Outdated Compiler Version
Gifto_TGE.sol,L72 L75,SWC-131-Presence of unused variables
Gifto_TGE.sol,L116 - L121,SWC-131-Presence of unused variables
Fee.sol,L2,SWC-102-Outdated Compiler Version
Migrations.sol,L2-24,SWC-100-Function Default Visibility
SynchroCoin.sol,L118,SWC-100-Function Default Visibility
ZipToken.sol,L12,SWC-131-Presence of unused variables
AloeBlend.sol,L186,SWC-135-Code With No Effects
DeltaNeutralVault.sol,// SWC-114-Transaction Order Dependence,SWC-114-Transaction Order Dependence
DeltaNeutralVault.sol,// SWC-114-Transaction Order Dependence,SWC-114-Transaction Order Dependence
PriceHelper.sol,// SWC-116-Block values as a proxy for time,SWC-116-Block values as a proxy for time
ApeVault.sol,L64,SWC-135-Code With No Effects
ApeVault.sol,L71,SWC-135-Code With No Effects
ApeVault.sol,L133-135,SWC-105-Unprotected Ether Withdrawal
ImpossibleWrappedToken.sol,L53-61,SWC-107-Reentrancy
ImpossibleWrappedToken.sol,L65-73,SWC-107-Reentrancy
ImpossibleWrappedToken.sol,L65-73,SWC-114-Transaction Order Dependence
ve.sol,L491-493,SWC-112-Delegatecall to Untrusted Callee
ve.sol,L675-697,SWC-104-Unchecked Call Return Value
ve.sol,L1097-1104,SWC-107-Reentrancy
VEReward.sol,L119-134,SWC-113-DoS with Failed Call
VEReward.sol,L269-275,SWC-128-DoS With Block Gas Limit
Liquidator.sol,L35,SWC-105-Unprotected Ether Withdrawal
Vault.sol,L72-89,SWC-119-Shadowing State Variables
VaultManager.sol,L156-166,SWC-101-Integer Overflow and Underflow
AsyncArtwork_v2.sol,L156,SWC-108-State Variable Default Visibility
AsyncArtwork_v2.sol,L601,SWC-131-Presence of unused variables
Proxy.sol,L3,SWC-103-Floating Pragma
PositionManagerFactory.sol,L87-90,SWC-135-Code With No Effects
ZapIn.sol,L53-54,SWC-101-Integer Overflow and Underflow
SwapHelper.sol,L11-74,SWC-101-Integer Overflow and Underflow
IdleLiquidityModule.sol,L131,SWC-101-Integer Overflow and Underflow
RealityCards.sol,L27,SWC-135-Code With No Effects
RealityCards.sol,L198-204,SWC-135-Code With No Effects
RealityCards.sol,L212-214,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L467,SWC-123-Requirement Violation
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L702 - L703,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L710,SWC-131-Presence of unused variables
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L794 - L795,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L828 - L831,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L837 - L844,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L865 - L874,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L941 - L951,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L955 - L961,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L1106 - L1124,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L1137 - L1145,SWC-135-Code With No Effects
BSCSCAN-0xC512261b8AE70260447A74aC7d94dAee150B90C0.sol,L1148 - L1156,SWC-135-Code With No Effects
code.sol,L702 - L703,SWC-135-Code With No Effects
code.sol,L710,SWC-135-Code With No Effects
Etherscan-0x4e15361fd6b4bb609fa63c81a2be19d873717870.sol,L166 - L172,SWC-105-Unprotected Ether Withdrawal
MyToken.sol,L73 - L75,SWC-135-Code With No Effects
JarvisPlusToken_flat.sol,L97,SWC-135-Code With No Effects
JarvisPlusToken_flat.sol,L167 - L168,SWC-135-Code With No Effects
BSCSCAN-2ae9952c1038dA3DafebA026B96053F24CBc03b3.sol,L454- L457,SWC-105-Unprotected Ether Withdrawal
code.sol,L76,SWC-104-Unchecked Call Return Value
contract.sol,L23,SWC-111-Use of Deprecated Solidity Functions
contract.sol,L121,SWC-111-Use of Deprecated Solidity Functions
contract.sol,L157,SWC-135-Code With No Effects
contract.sol,L161,SWC-135-Code With No Effects
contract.sol,L224,SWC-107-Reentrancy
