name,line,category
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,794,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,996,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,1004,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,1055,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,1154,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,1158,contractAffectedByMiners
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMiners.sol,1198,contractAffectedByMiners
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMiners.sol,785,contractAffectedByMiners
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMiners.sol,1020,contractAffectedByMiners
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMiners.sol,1055,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,563,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,566,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,582,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,585,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,1263,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,1601,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2027,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2078,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2158,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2187,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2197,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2242,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2244,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2274,contractAffectedByMiners
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMiners.sol,2276,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,178,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,337,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,340,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,344,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,347,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,362,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,413,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,414,contractAffectedByMiners
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMiners.sol,415,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,506,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,593,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,608,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,648,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,683,contractAffectedByMiners
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMiners.sol,684,contractAffectedByMiners
0x003fb03e851f435e79066dcf652d84b53f1d66c5_affectedByMiners.sol,303,contractAffectedByMiners
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMiners.sol,444,contractAffectedByMiners
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMiners.sol,485,contractAffectedByMiners
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMiners.sol,493,contractAffectedByMiners
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMiners.sol,509,contractAffectedByMiners
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMiners.sol,534,contractAffectedByMiners
0x00534caeb1c9a7fbe59449653914eccd4bcfbdb6_affectedByMiners.sol,890,contractAffectedByMiners
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMiners.sol,493,contractAffectedByMiners
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMiners.sol,505,contractAffectedByMiners
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMiners.sol,567,contractAffectedByMiners
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMiners.sol,612,contractAffectedByMiners
