name,line,category
FibonacciBalance.sol,31,access_control
FibonacciBalance.sol,38,access_control
arbitrary_location_write_simple.sol,27,access_control
incorrect_constructor_name1.sol,20,access_control
incorrect_constructor_name2.sol,18,access_control
incorrect_constructor_name3.sol,17,access_control
mapping_write.sol,20,access_control
multiowned_vulnerable.sol,38,access_control
mycontract.sol,20,access_control
parity_wallet_bug_1.sol,223,access_control
parity_wallet_bug_1.sol,437,access_control
parity_wallet_bug_2.sol,226,access_control
parity_wallet_bug_2.sol,233,access_control
phishable.sol,20,access_control
proxy.sol,19,access_control
rubixi.sol,23,access_control
rubixi.sol,24,access_control
simple_suicide.sol,12,access_control
simple_suicide.sol,13,access_control
unprotected0.sol,25,access_control
wallet_02_refund_nosub.sol,36,access_control
wallet_03_wrong_constructor.sol,19,access_control
wallet_03_wrong_constructor.sol,20,access_control
wallet_04_confused_sign.sol,30,access_control
BECToken.sol,264,arithmetic
insecure_transfer.sol,18,arithmetic
integer_overflow_1.sol,14,arithmetic
integer_overflow_add.sol,17,arithmetic
integer_overflow_benign_1.sol,17,arithmetic
integer_overflow_mapping_sym_1.sol,16,arithmetic
integer_overflow_minimal.sol,17,arithmetic
integer_overflow_mul.sol,17,arithmetic
integer_overflow_multitx_multifunc_feasible.sol,25,arithmetic
integer_overflow_multitx_onefunc_feasible.sol,22,arithmetic
overflow_simple_add.sol,14,arithmetic
overflow_single_tx.sol,18,arithmetic
overflow_single_tx.sol,24,arithmetic
overflow_single_tx.sol,30,arithmetic
overflow_single_tx.sol,36,arithmetic
overflow_single_tx.sol,42,arithmetic
overflow_single_tx.sol,48,arithmetic
timelock.sol,22,arithmetic
token.sol,20,arithmetic
token.sol,22,arithmetic
tokensalechallenge.sol,23,arithmetic
tokensalechallenge.sol,25,arithmetic
tokensalechallenge.sol,33,arithmetic
blackjack.sol,17,bad_randomness
blackjack.sol,19,bad_randomness
blackjack.sol,21,bad_randomness
etheraffle.sol,49,bad_randomness
etheraffle.sol,99,bad_randomness
etheraffle.sol,101,bad_randomness
etheraffle.sol,103,bad_randomness
etheraffle.sol,114,bad_randomness
etheraffle.sol,158,bad_randomness
guess_the_random_number.sol,15,bad_randomness
lottery.sol,38,bad_randomness
lottery.sol,42,bad_randomness
lucky_doubler.sol,127,bad_randomness
lucky_doubler.sol,128,bad_randomness
lucky_doubler.sol,129,bad_randomness
lucky_doubler.sol,130,bad_randomness
lucky_doubler.sol,132,bad_randomness
old_blockhash.sol,35,bad_randomness
random_number_generator.sol,12,bad_randomness
random_number_generator.sol,18,bad_randomness
random_number_generator.sol,20,bad_randomness
random_number_generator.sol,22,bad_randomness
smart_billions.sol,523,bad_randomness
smart_billions.sol,560,bad_randomness
smart_billions.sol,700,bad_randomness
smart_billions.sol,702,bad_randomness
smart_billions.sol,704,bad_randomness
smart_billions.sol,706,bad_randomness
smart_billions.sol,708,bad_randomness
smart_billions.sol,710,bad_randomness
smart_billions.sol,712,bad_randomness
smart_billions.sol,714,bad_randomness
smart_billions.sol,716,bad_randomness
smart_billions.sol,718,bad_randomness
auction.sol,23,denial_of_service
dos_address.sol,16,denial_of_service
dos_address.sol,17,denial_of_service
dos_address.sol,18,denial_of_service
dos_number.sol,18,denial_of_service
dos_number.sol,19,denial_of_service
dos_number.sol,20,denial_of_service
dos_number.sol,21,denial_of_service
dos_number.sol,22,denial_of_service
dos_simple.sol,17,denial_of_service
dos_simple.sol,18,denial_of_service
list_dos.sol,46,denial_of_service
list_dos.sol,48,denial_of_service
send_loop.sol,24,denial_of_service
ERC20.sol,110,front_running
ERC20.sol,113,front_running
FindThisHash.sol,17,front_running
eth_tx_order_dependence_minimal.sol,23,front_running
eth_tx_order_dependence_minimal.sol,31,front_running
odds_and_evens.sol,25,front_running
odds_and_evens.sol,28,front_running
crypto_roulette.sol,40,other
crypto_roulette.sol,41,other
crypto_roulette.sol,42,other
name_registrar.sol,23,other
open_address_lottery.sol,91,other
0x01f8c4e3fa3edeb29e514cba738d87ce8c091d3f.sol,54,reentrancy
0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,38,reentrancy
0x4320e6f8c05b27ab4707cd1f6d5ce6f3e4b3a5a1.sol,55,reentrancy
0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,54,reentrancy
0x561eac93c92360949ab1f1403323e6db345cbf31.sol,54,reentrancy
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,94,reentrancy
0x7541b76cb60f4c60af330c208b0623b7f54bf615.sol,29,reentrancy
0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,52,reentrancy
0x7b368c4e805c3870b6c49a3f1f49f69af8662cf3.sol,29,reentrancy
0x8c7777c45481dba411450c228cb692ac3d550344.sol,41,reentrancy
0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,29,reentrancy
0x941d225236464a25eb18076df7da6a91d0f95e9e.sol,44,reentrancy
