Category,Function,Line Number,File Path,Solidity File Name,Line Content
SWC-102-Outdated Compiler Version,N/A,L3,DAppSCAN-source/contracts/Ackee_Blockchain-GoodGhosting/goodghosting-protocol-v1-dfda8d5d5990abb7f352bc9358ac950dce1bd677/goodghosting-protocol-v1-dfda8d5d5990abb7f352bc9358ac950dce1bd677/contracts/GoodGhosting.sol,GoodGhosting.sol,pragma solidity 0.6.11;
SWC-101-Integer Overflow and Underflow,newVersion,L152,DAppSCAN-source/contracts/Ackee_Blockchain-Layer_Zero/LayerZero-a5b266aa54714035314cbe5e451b2ec0db81b552/contracts/Endpoint.sol,Endpoint.sol,"require(latestVersion < 65535, ""LayerZero: can not add new messaging library"");"
SWC-102-Outdated Compiler Version,N/A,L4,DAppSCAN-source/contracts/Ackee_Blockchain-Layer_Zero/LayerZero-a5b266aa54714035314cbe5e451b2ec0db81b552/contracts/Relayer.sol,Relayer.sol,pragma solidity ^0.7.6;
SWC-103-Floating Pragma,N/A,L4,DAppSCAN-source/contracts/Ackee_Blockchain-Layer_Zero/LayerZero-a5b266aa54714035314cbe5e451b2ec0db81b552/contracts/Relayer.sol,Relayer.sol,pragma solidity ^0.7.6;
SWC-101-Integer Overflow and Underflow,N/A,L21-23,DAppSCAN-source/contracts/Ackee_Blockchain-Layer_Zero/LayerZero-a5b266aa54714035314cbe5e451b2ec0db81b552/contracts/Relayer.sol,Relayer.sol,using SafeMath for uint;
SWC-135-Code With No Effects,N/A,L45-47,DAppSCAN-source/contracts/Ackee_Blockchain-Zunami_protocol/ZunamiProtocol-37dccabf5aa3697dce5eaf6457debb3ac7404fdd/contracts/Zunami.sol,Zunami.sol,address public admin;
SWC-100-Function Default Visibility,calcManagementFee,L74,DAppSCAN-source/contracts/Ackee_Blockchain-Zunami_protocol/ZunamiProtocol-37dccabf5aa3697dce5eaf6457debb3ac7404fdd/contracts/Zunami.sol,Zunami.sol,function calcManagementFee(uint256 amount) public view virtual
SWC-129-Typographical Error,ManagerUpdated,L17,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol,BeamToken.sol,event ManagerUpdated(address newManager);
SWC-129-Typographical Error,setManager,L72,DAppSCAN-source/contracts/Blockchain Labs NZ-Beam/beam-11b086ca757f1612cd67c1bf6d7ab470591676b1/contracts/BeamToken.sol,BeamToken.sol,emit ManagerUpdated(manager);
SWC-100-Function Default Visibility,isBreakingCap,L38,DAppSCAN-source/contracts/Blockchain Labs NZ-BitHero/BitHeroToken-master/AllocatedCrowdsaleMixin.sol,AllocatedCrowdsaleMixin.sol,"function isBreakingCap(uint weiAmount, uint tokenAmount, uint weiRaisedTotal, uint tokensSoldTotal) constant returns (bool limitBroken) {"
