nome do arquivo,vulnerabilidade,linha
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,794
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,996
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,1004
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,1055
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,1154
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,1158
0x00000000357646e36fe575885bb3e1a0772e64cc_affectedByMinersInfo.sol,contractAffectedByMiners,1198
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMinersInfo.sol,contractAffectedByMiners,785
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMinersInfo.sol,contractAffectedByMiners,1020
0x000000007f8ea40a849c00ef59b8690bc56d7d98_affectedByMinersInfo.sol,contractAffectedByMiners,1055
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,563
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,566
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,582
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,585
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,1263
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,1601
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2027
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2078
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2158
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2187
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2197
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2242
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2244
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2274
0x00000000c8bdb2c7db23eccf7500efc3c2ab7b99_affectedByMinersInfo.sol,contractAffectedByMiners,2276
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,178
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,337
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,340
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,344
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,347
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,362
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,413
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,414
0x00000624264253944a702b8b812ae7bbb46af371_affectedByMinersInfo.sol,contractAffectedByMiners,415
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,506
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,593
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,608
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,648
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,683
0x00022837E66Fdd4bbFe63859d7dc12651738D329_affectedByMinersInfo.sol,contractAffectedByMiners,684
0x003fb03e851f435e79066dcf652d84b53f1d66c5_affectedByMinersInfo.sol,contractAffectedByMiners,303
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMinersInfo.sol,contractAffectedByMiners,444
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMinersInfo.sol,contractAffectedByMiners,485
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMinersInfo.sol,contractAffectedByMiners,493
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMinersInfo.sol,contractAffectedByMiners,509
0x0051aa458da83d98610742851255b1b64f2b70fa_affectedByMinersInfo.sol,contractAffectedByMiners,534
0x00534caeb1c9a7fbe59449653914eccd4bcfbdb6_affectedByMinersInfo.sol,contractAffectedByMiners,890
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,493
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,505
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,567
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,612
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,626
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,632
0x0061c52768378b84306b2665f098c3e0b2C03308_affectedByMinersInfo.sol,contractAffectedByMiners,635
0x00b113a5570a046c60ac8cfa4983b1dc1c780629_affectedByMinersInfo.sol,contractAffectedByMiners,421
0x00b113a5570a046c60ac8cfa4983b1dc1c780629_affectedByMinersInfo.sol,contractAffectedByMiners,827
0x00b113a5570a046c60ac8cfa4983b1dc1c780629_affectedByMinersInfo.sol,contractAffectedByMiners,842
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,109
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,201
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,230
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,253
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,256
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,257
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,287
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,322
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,332
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,351
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,367
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,374
0x012bf38b6ca9ea39ea95f30f8640f3d63767dd17_affectedByMinersInfo.sol,contractAffectedByMiners,386
0x0189177944008c9ca0fdbde0cd1779aad54a2042_affectedByMinersInfo.sol,contractAffectedByMiners,111
0x0189177944008c9ca0fdbde0cd1779aad54a2042_affectedByMinersInfo.sol,contractAffectedByMiners,203
0x0189177944008c9ca0fdbde0cd1779aad54a2042_affectedByMinersInfo.sol,contractAffectedByMiners,235
0x0189177944008c9ca0fdbde0cd1779aad54a2042_affectedByMinersInfo.sol,contractAffectedByMiners,295
0x01aaf00b615d97360e80ef1242a3935c8b7d529a_affectedByMinersInfo.sol,contractAffectedByMiners,385
0x025daf950c6e814dee4c96e13c98d3196d22e60c_affectedByMinersInfo.sol,contractAffectedByMiners,189
0x0260853e7313725691bd0c562bc7d27dd7845a9b_affectedByMinersInfo.sol,contractAffectedByMiners,153
0x0260853e7313725691bd0c562bc7d27dd7845a9b_affectedByMinersInfo.sol,contractAffectedByMiners,343
0x0260853e7313725691bd0c562bc7d27dd7845a9b_affectedByMinersInfo.sol,contractAffectedByMiners,372
0x02ec1ade01cc61c264e9ae9b2a65b42d729807e4_affectedByMinersInfo.sol,contractAffectedByMiners,153
0x02ec1ade01cc61c264e9ae9b2a65b42d729807e4_affectedByMinersInfo.sol,contractAffectedByMiners,343
0x02ec1ade01cc61c264e9ae9b2a65b42d729807e4_affectedByMinersInfo.sol,contractAffectedByMiners,372
0x0376411338c0dab5dd5e78b3d717284fa2774eb4_affectedByMinersInfo.sol,contractAffectedByMiners,114
0x0376411338c0dab5dd5e78b3d717284fa2774eb4_affectedByMinersInfo.sol,contractAffectedByMiners,244
0x0376411338c0dab5dd5e78b3d717284fa2774eb4_affectedByMinersInfo.sol,contractAffectedByMiners,245
0x037a54aab062628c9bbae1fdb1583c195585fe41_affectedByMinersInfo.sol,contractAffectedByMiners,348
0x0391386dd6656fe5275a7641ecb789e856cf3998_affectedByMinersInfo.sol,contractAffectedByMiners,248
0x03e3fbc3820c1d1487cd7b275cc32c226caf5d18_affectedByMinersInfo.sol,contractAffectedByMiners,213
0x03e3fbc3820c1d1487cd7b275cc32c226caf5d18_affectedByMinersInfo.sol,contractAffectedByMiners,314
0x03e8f56ad0d759bcfff960863388bfdb2efd1579_affectedByMinersInfo.sol,contractAffectedByMiners,190
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,283
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,338
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,373
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,405
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,437
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,470
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,500
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,531
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,563
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,596
0x04299958f29fa5b8383f7bbd0c98ab86bef81363_affectedByMinersInfo.sol,contractAffectedByMiners,628
0x04355cc59b514a68cf0248df5312bbcb3e709fb3_affectedByMinersInfo.sol,contractAffectedByMiners,376
